"sample_name"	"library_ID"	"title"	"library_strategy"	"library_source"	"library_selection"	"library_layout"	"platform"	"instrument"	"design_description"	"filetype"	"filename"	"filename2"	"Experiment"
"1_GVCLHN1-BH"	"1_GVCLHN1-BH"	"16S amplicon of BH sample from mesocosm withPendelton soil and Gv; Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"1_GVCLHN1-BH.R1.fq.gz"	"1_GVCLHN1-BH.R2.fq.gz"	2
"2_GVCLHN1-BS"	"2_GVCLHN1-BS"	"16S amplicon of BS sample from mesocosm withPendelton soil and Gv; Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"2_GVCLHN1-BS.R1.fq.gz"	"2_GVCLHN1-BS.R2.fq.gz"	2
"3_GVCLHN2-BH"	"3_GVCLHN2-BH"	"16S amplicon of BH sample from mesocosm withPendelton soil and Gv; Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"3_GVCLHN2-BH.R1.fq.gz"	"3_GVCLHN2-BH.R2.fq.gz"	2
"4_GVCLHN2-BS"	"4_GVCLHN2-BS"	"16S amplicon of BS sample from mesocosm withPendelton soil and Gv; Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"4_GVCLHN2-BS.R1.fq.gz"	"4_GVCLHN2-BS.R2.fq.gz"	2
"5_GVFLHN1-BH"	"5_GVFLHN1-BH"	"16S amplicon of BH sample from mesocosm withFlorence soil and Gv; Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"5_GVFLHN1-BH.R1.fq.gz"	"5_GVFLHN1-BH.R2.fq.gz"	2
"6_GVFLHN1-BS"	"6_GVFLHN1-BS"	"16S amplicon of BS sample from mesocosm withFlorence soil and Gv; Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"6_GVFLHN1-BS.R1.fq.gz"	"6_GVFLHN1-BS.R2.fq.gz"	2
"7_GVFLHN2-BH"	"7_GVFLHN2-BH"	"16S amplicon of BH sample from mesocosm withFlorence soil and Gv; Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"7_GVFLHN2-BH.R1.fq.gz"	"7_GVFLHN2-BH.R2.fq.gz"	2
"8_GVFLHN2-BS"	"8_GVFLHN2-BS"	"16S amplicon of BS sample from mesocosm withFlorence soil and Gv; Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"8_GVFLHN2-BS.R1.fq.gz"	"8_GVFLHN2-BS.R2.fq.gz"	2
"9_GVFLHP1-BH"	"9_GVFLHP1-BH"	"16S amplicon of BH sample from mesocosm withFlorence soil and Gv; Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"9_GVFLHP1-BH.R1.fq.gz"	"9_GVFLHP1-BH.R2.fq.gz"	2
"10_GVFLHP1-BS"	"10_GVFLHP1-BS"	"16S amplicon of BS sample from mesocosm withFlorence soil and Gv; Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"10_GVFLHP1-BS.R1.fq.gz"	"10_GVFLHP1-BS.R2.fq.gz"	2
