"sample_name"	"library_ID"	"title"	"library_strategy"	"library_source"	"library_selection"	"library_layout"	"platform"	"instrument"	"design_description"	"filetype"	"filename"	"filename2"	"Experiment"
"1_3.1RH"	"1_3.1RH"	"16S amplicon of RH sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"1_3.1RH.R1.fq.gz"	"1_3.1RH.R2.fq.gz"	3
"2_3.1BP"	"2_3.1BP"	"16S amplicon of BP sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"2_3.1BP.R1.fq.gz"	"2_3.1BP.R2.fq.gz"	3
"3_2.1CH"	"3_2.1CH"	"16S amplicon of CH sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"3_2.1CH.R1.fq.gz"	"3_2.1CH.R2.fq.gz"	3
"4_2.1BP"	"4_2.1BP"	"16S amplicon of BP sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"4_2.1BP.R1.fq.gz"	"4_2.1BP.R2.fq.gz"	3
"5_1.1RH"	"5_1.1RH"	"16S amplicon of RH sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"5_1.1RH.R1.fq.gz"	"5_1.1RH.R2.fq.gz"	3
"6_3.1CH"	"6_3.1CH"	"16S amplicon of CH sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"6_3.1CH.R1.fq.gz"	"6_3.1CH.R2.fq.gz"	3
"7_2.1CS"	"7_2.1CS"	"16S amplicon of CS sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"7_2.1CS.R1.fq.gz"	"7_2.1CS.R2.fq.gz"	3
"8_1.1BP"	"8_1.1BP"	"16S amplicon of BP sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"8_1.1BP.R1.fq.gz"	"8_1.1BP.R2.fq.gz"	3
"9_1.1CH"	"9_1.1CH"	"16S amplicon of CH sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"9_1.1CH.R1.fq.gz"	"9_1.1CH.R2.fq.gz"	3
"10_2.1RH"	"10_2.1RH"	"16S amplicon of RH sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"10_2.1RH.R1.fq.gz"	"10_2.1RH.R2.fq.gz"	3
"11_1.1CS"	"11_1.1CS"	"16S amplicon of CS sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"11_1.1CS.R1.fq.gz"	"11_1.1CS.R2.fq.gz"	3
"12_3.1CS"	"12_3.1CS"	"16S amplicon of CS sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"12_3.1CS.R1.fq.gz"	"12_3.1CS.R2.fq.gz"	3
"13_1.2RH"	"13_1.2RH"	"16S amplicon of RH sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 24 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"13_1.2RH.R1.fq.gz"	"13_1.2RH.R2.fq.gz"	3
"14_1.2CH"	"14_1.2CH"	"16S amplicon of CH sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 24 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"14_1.2CH.R1.fq.gz"	"14_1.2CH.R2.fq.gz"	3
"15_1.2BP"	"15_1.2BP"	"16S amplicon of BP sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 24 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"15_1.2BP.R1.fq.gz"	"15_1.2BP.R2.fq.gz"	3
"16_2.2RH"	"16_2.2RH"	"16S amplicon of RH sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 24 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"16_2.2RH.R1.fq.gz"	"16_2.2RH.R2.fq.gz"	3
"17_2.2CH"	"17_2.2CH"	"16S amplicon of CH sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 24 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"17_2.2CH.R1.fq.gz"	"17_2.2CH.R2.fq.gz"	3
"18_2.2BP"	"18_2.2BP"	"16S amplicon of BP sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 24 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"18_2.2BP.R1.fq.gz"	"18_2.2BP.R2.fq.gz"	3
"19_3.2RH"	"19_3.2RH"	"16S amplicon of RH sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 24 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"19_3.2RH.R1.fq.gz"	"19_3.2RH.R2.fq.gz"	3
"20_3.2CH"	"20_3.2CH"	"16S amplicon of CH sample from mesocosm withLansing soil and Gv; Experiment 3. Samples collected 24 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Multiplexed dual barcoded MiSeq library prepared as in Kozich et al. 2013"	"fastq"	"20_3.2CH.R1.fq.gz"	"20_3.2CH.R2.fq.gz"	3
