ASV1	ASV226	96.84	253	8	0	1	253	1	253	2e-121	  424
ASV2	ASV535	90.91	253	23	0	1	253	1	253	2e-96	  340
ASV3	ASV996	95.26	253	12	0	1	253	1	253	7e-115	  401
ASV8	ASV687	86.22	254	33	2	1	253	1	253	2e-76	  274
ASV10	ASV1057	81.96	255	38	7	1	250	1	252	5e-57	  209
ASV11	ASV682	98.81	253	3	0	1	253	1	253	7e-130	  451
ASV15	ASV568	92.49	253	19	0	1	253	1	253	3e-103	  363
ASV17	ASV28	100.00	253	0	0	1	253	1	253	7e-135	  468
ASV18	ASV178	99.21	253	2	0	1	253	1	253	1e-131	  457
ASV19	ASV96	89.33	253	27	0	1	253	1	253	7e-90	  318
ASV20	ASV6	96.84	253	8	0	1	253	1	253	2e-121	  424
ASV25	ASV226	96.80	250	8	0	4	253	4	253	7e-120	  418
ASV31	ASV141	96.05	253	10	0	1	253	1	253	3e-118	  412
ASV32	ASV6	97.23	253	7	0	1	253	1	253	3e-123	  429
ASV49	ASV996	95.20	250	12	0	4	253	4	253	3e-113	  396
ASV52	ASV110	87.75	253	31	0	1	253	1	253	3e-83	  296
ASV56	ASV141	94.47	253	14	0	1	253	1	253	2e-111	  390
ASV177	ASV538	98.81	253	3	0	1	253	1	253	7e-130	  451
ASV187	ASV212	99.21	253	2	0	1	253	1	253	1e-131	  457
ASV238	ASV178	77.73	247	35	19	14	250	14	250	3e-34	  134
ASV263	ASV244	99.60	253	1	0	1	253	1	253	3e-133	  462
ASV265	ASV598	79.53	254	50	2	1	253	1	253	4e-48	  180
ASV365	ASV1731	87.80	254	29	2	2	254	2	254	3e-83	  296
ASV411	ASV1745	92.49	253	19	0	1	253	1	253	3e-103	  363
ASV452	ASV7	89.37	254	25	2	1	253	1	253	7e-90	  318
ASV473	ASV55	93.28	253	17	0	1	253	1	253	2e-106	  374
ASV546	ASV1399	88.24	255	26	4	1	253	1	253	7e-85	  302
ASV599	ASV96	82.66	248	37	6	2	246	2	246	1e-58	  215
ASV624	ASV1213	96.84	253	8	0	1	253	1	253	2e-121	  424
ASV792	ASV996	91.30	253	22	0	1	253	1	253	3e-98	  346
ASV815	ASV341	90.51	253	24	0	1	253	1	253	7e-95	  335
ASV948	ASV1057	82.21	253	41	4	1	250	1	252	1e-58	  215
ASV996	ASV736	96.84	253	8	0	1	253	1	253	2e-121	  424
ASV1089	ASV178	76.95	256	53	6	1	253	1	253	2e-36	  141
ASV1283	ASV322	82.08	240	39	4	16	253	16	253	8e-55	  202
ASV1344	ASV55	82.75	255	40	4	1	253	1	253	2e-61	  224
ASV1478	ASV178	77.33	247	42	14	14	253	14	253	3e-34	  134
ASV1560	ASV2605	95.26	253	12	0	1	253	1	253	7e-115	  401
ASV4266	ASV736	98.42	253	4	0	1	253	1	253	3e-128	  446
ASV6865	ASV688	82.14	252	39	6	2	250	2	250	1e-57	  211
ASV7456	ASV27	98.42	253	4	0	1	253	1	253	3e-128	  446
ASV9428	ASV322	95.65	253	11	0	1	253	1	253	2e-116	  407
ASV11658	ASV538	98.81	253	3	0	1	253	1	253	7e-130	  451
ASV13874	ASV988	89.33	253	27	0	1	253	1	253	7e-90	  318
ASV14200	ASV736	96.84	253	8	0	1	253	1	253	2e-121	  424
ASV14924	ASV736	81.67	251	44	2	1	250	1	250	2e-56	  207
ASV15749	ASV736	97.63	253	6	0	1	253	1	253	7e-125	  435
ASV21157	ASV1254	89.29	252	27	0	2	253	2	253	3e-89	  316
ASV24341	ASV535	97.50	40	1	0	16	55	16	55	8e-15	69.4
