ASV1	BE102	95.26	253	12	0	1	253	381	633	4e-114	  401
ASV3	BE126	98.42	253	4	0	1	253	385	637	2e-127	  446
ASV8	BE159	100.00	253	0	0	1	253	381	633	4e-134	  468
ASV11	BE105	97.23	253	7	0	1	253	434	686	2e-122	  429
ASV15	BE198	93.68	253	16	0	1	253	442	694	2e-107	  379
ASV17	BE50	82.54	252	44	0	2	253	456	707	3e-60	  222
ASV18	BE125	90.98	255	19	4	1	253	384	636	8e-96	  340
ASV19	BE71	100.00	253	0	0	1	253	419	671	4e-134	  468
ASV20	BE159	76.83	259	48	12	1	253	381	633	4e-34	  135
ASV25	BE102	95.20	250	12	0	4	253	384	633	2e-112	  396
ASV31	BE118	80.86	256	43	5	1	253	423	675	2e-52	  196
ASV32	BE159	78.99	257	46	8	1	253	381	633	4e-44	  169
ASV49	BE126	98.40	250	4	0	4	253	388	637	8e-126	  440
ASV52	BE55	86.61	254	32	2	1	253	434	686	2e-77	  279
ASV56	BE118	81.64	256	41	6	1	253	423	675	9e-56	  207
ASV177	BE173	87.50	248	31	0	6	253	445	692	1e-79	  287
ASV187	BE233	98.81	253	3	0	1	253	432	684	4e-129	  451
ASV238	BE198	82.30	243	35	7	12	250	453	691	1e-54	  204
ASV263	BE105	98.02	253	5	0	1	253	434	686	8e-126	  440
ASV265	BE59	79.22	255	49	4	1	253	381	633	9e-46	  174
ASV295	BE124	97.23	253	7	0	1	253	427	679	2e-122	  429
ASV365	BE85	83.98	256	34	6	2	254	420	671	3e-65	  239
ASV411	BE95	81.20	250	43	4	6	253	385	632	5e-53	  198
ASV452	BE48	100.00	253	0	0	1	253	442	694	4e-134	  468
ASV473	BE118	84.82	257	31	8	1	253	423	675	4e-69	  252
ASV546	BE71	82.42	256	39	6	1	253	419	671	4e-59	  219
ASV599	BE72	82.63	236	41	0	14	249	395	630	2e-56	  209
ASV624	BE105	89.33	253	27	0	1	253	434	686	4e-89	  318
ASV792	BE181	100.00	253	0	0	1	253	385	637	4e-134	  468
ASV815	BE40	90.55	254	22	2	1	253	433	685	4e-94	  335
ASV996	BE72	86.29	248	28	6	6	250	387	631	5e-73	  265
ASV1478	BE107	78.84	241	49	2	14	253	453	692	7e-42	  161
ASV1560	Consensus-BE33	87.75	253	31	0	1	253	419	671	2e-82	  296
ASV4266	BE72	87.50	248	25	6	6	250	387	631	5e-78	  281
ASV6865	BE109	79.35	247	47	4	6	250	389	633	1e-44	  171
ASV7456	BE105	98.02	253	5	0	1	253	434	686	8e-126	  440
ASV9428	BE203	86.18	246	32	2	6	250	448	692	5e-73	  265
ASV11658	BE55	85.38	253	37	0	1	253	434	686	2e-72	  263
ASV13874	BE109	92.49	253	19	0	1	253	384	636	2e-102	  363
ASV14200	BE72	87.90	248	24	6	6	250	387	631	1e-79	  287
ASV14924	BE109	82.73	249	41	2	6	253	389	636	1e-59	  220
ASV15749	BE72	86.69	248	27	6	6	250	387	631	1e-74	  270
ASV21157	BE71	89.45	256	21	6	1	253	419	671	4e-89	  318
ASV24341	BE64	95.45	44	2	0	12	55	460	503	1e-14	71.3
